codigo;interno;colecao;subcolecao;sigla;referencia;descricao;tipo;grupo;departamento;marca;divisao;categoria;status;grade;fornecedor;cadastro
323031;12135;INVERNO;;;323031;323031 - BLUSA LUREX CACHARREL;;TOP;FEMININO;EGREY;FEMININO;;;34/36/38/40/42/44/46/48;;2024-10-21
315126;10237;VERÃO;;;315126PRE;315126 - BLUSA LYS;;;CAMISA;;;;;34 AO 48;;2024-10-21
329082;292;INVERNO;;;329082;329082 - BLUSA M/L LEVE LISTRAS TRICOT;;TOP;FEMININO;EGREY;FEMININO;;;PP/P/M/G/GG;;2024-10-14
309099;12741;INDEF - INDEFINIDO;INDEF - INDEFINIDO;;309099;309099 - BLUSA MALHA ELÔ;;TOP;FEMININO;EGREY;FEMININO;;;34/36/38/40/42/44/46/48;;2024-10-24
PN00018;637;ALTO INVERNO;2011;AW11;PJE01-230-18;PN00018 - BLUSA MANCHADA;;TOP;TOP;PRETORIAN;FEMININO;;;PP/P/M/G/GG;;2011-05-30
100006;21993;PERENE;;;100006;100006 - BLUSA MANGA 3/4;;TOP;BLUSA;EGREY;FEMININO;PROPRIA;;PP/P/M/G/GG;;2025-10-15
332116;22049;INVERNO;2026;AW26;332116;332116 - BLUSA MANGA 3/4 LISTRAS;;TOP;BLUSA;EGREY;FEMININO;PROPRIA;;PP/P/M/G/GG;;2025-10-17
00076;148;VERÃO;2010;SS10;;00076 - BLUSA MANGA 3/4 LUREX;;;;;;;;PP/P/M/G/GG;;2010-07-06
320079;11291;VERÃO;;;320079OFF;320079 - BLUSA MANGA 3/4 TRICOT;;;CAMISA;;;;;PP/P/M/G/GG/EXG/EGG/EEGG;;2024-10-21
334093;41370;VERÃO;2027;SS27;334093;334093 - BLUSA MANGA 3/4 TRICOT;;TOP;BLUSA;EGREY;FEMININO;PROPRIA;;PP/P/M/G/GG;;2026-03-20
332240;41420;INVERNO;;;332240;332240 - BLUSA MANGA 3/4 TRICOT;;TOP;BLUSA;EGREY;FEMININO;PROPRIA;;PP/P/M/G/GG;;2026-04-06
319043;11155;VERÃO;;;319043OFF;319043 - BLUSA MANGA AMPLA;;;CAMISA;;;;;PP/P/M/G/GG/EXG/EGG/EEGG;;2024-10-21
322003;11741;VERÃO;;;322003;322003 - BLUSA MANGA AMPLA AMARRAÇÃO;;TOP;FEMININO;EGREY;FEMININO;;;34/36/38/40/42/44/46/48;;2024-10-21
320056;11284;VERÃO;;;320056PRE;320056 - BLUSA MANGA AMPLA LAÇO SEDA;;;CAMISA;;;;;34 AO 48;;2024-10-21
